Index,Time,((moto_yaw)->Moto_Measure).moment,((moto_yaw)->Moto_Measure).speed_rpm,((referee_data)->PowerHeatData).chassis_power
589,0.589749,14,0,0.475700408
590,0.591001,21,0,0.475700408
591,0.591895,21,0,0.475700408
592,0.592696,88,0,0.475700408
593,0.593640,88,0,0.475700408
594,0.594638,-52,0,0.475700408
595,0.595911,-52,0,0.475700408
596,0.596712,-52,0,0.475700408
597,0.597961,-52,0,0.475700408
598,0.599018,204,0,0.475700408
599,0.599903,204,0,0.475700408
600,0.600704,82,0,0.475700408
601,0.601959,82,0,0.475700408
602,0.602760,7,0,0.475700408
603,0.603623,7,0,0.475700408
604,0.604992,-45,0,0.475700408
605,0.605889,-45,0,0.475700408
606,0.606769,-59,0,0.475700408
607,0.607655,-59,0,0.475700408
608,0.608926,-52,0,0.490391463
609,0.609727,-52,0,0.490391463
610,0.610965,14,0,0.490391463
611,0.611767,14,0,0.490391463
612,0.612642,14,0,0.490391463
613,0.613911,14,0,0.490391463
614,0.614713,21,0,0.490391463
615,0.615961,21,0,0.490391463
616,0.616934,-52,0,0.490391463
617,0.617736,-52,0,0.490391463
618,0.618692,14,0,0.490391463
619,0.619961,14,0,0.490391463
620,0.620762,-52,0,0.490391463
621,0.621624,-52,0,0.490391463
622,0.622902,21,0,0.490391463
623,0.623704,21,0,0.490391463
624,0.624952,14,0,0.490391463
625,0.625754,14,0,0.490391463
626,0.626623,21,0,0.486311883
627,0.627897,21,0,0.486311883
628,0.628698,88,0,0.486311883
629,0.630017,88,0,0.486311883
630,0.630903,82,0,0.486311883
631,0.631898,82,0,0.486311883
632,0.632699,-45,0,0.486311883
633,0.633940,-45,0,0.486311883
634,0.634741,14,0,0.486311883
635,0.635992,14,0,0.486311883
636,0.636889,-59,0,0.486311883
637,0.637690,-59,0,0.486311883
638,0.638934,82,0,0.486311883
639,0.639735,82,0,0.486311883
640,0.640987,-45,0,0.486311883
641,0.641789,-45,0,0.486311883
642,0.642666,-52,0,0.486311883
643,0.644019,-52,0,0.486311883
644,0.645004,14,0,0.486311883
645,0.645889,14,0,0.486311883
646,0.646690,-45,0,0.486311883
647,0.647939,-45,0,0.493416339
648,0.648740,82,0,0.493416339
649,0.649993,82,0,0.493416339
650,0.650889,-45,0,0.493416339
651,0.651690,-45,0,0.493416339
652,0.652947,21,0,0.493416339
653,0.653748,21,0,0.493416339
654,0.655146,14,0,0.493416339
655,0.656032,14,0,0.493416339
656,0.657019,21,0,0.493416339
657,0.657903,21,0,0.493416339
658,0.658895,14,0,0.493416339
659,0.659696,14,0,0.493416339
660,0.660939,14,0,0.493416339
661,0.661740,14,0,0.493416339
662,0.662992,14,0,0.493416339
663,0.663889,14,0,0.493416339
664,0.664691,-113,0,0.493416339
665,0.665934,-113,0,0.493416339
666,0.666736,-59,0,0.4793396
667,0.667987,21,0,0.4793396
668,0.668789,21,0,0.4793396
669,0.669729,21,0,0.4793396
670,0.671001,14,0,0.4793396
671,0.671987,-45,0,0.4793396
672,0.672788,-45,0,0.4793396
673,0.673650,-45,0,0.4793396
674,0.674912,-52,0,0.4793396
675,0.675713,-52,0,0.4793396
676,0.676966,14,0,0.4793396
677,0.677767,14,0,0.4793396
678,0.678636,-39,0,0.4793396
679,0.679911,14,0,0.4793396
680,0.680712,14,0,0.4793396
681,0.681967,-52,0,0.4793396
682,0.682939,-52,0,0.4793396
683,0.683740,-52,0,0.4793396
684,0.684694,21,0,0.4793396
685,0.685974,1,0,0.4793396
686,0.686775,1,0,0.4793396
687,0.687633,1,0,0.492765069
688,0.688903,21,0,0.492765069
689,0.689704,21,0,0.492765069
690,0.690952,14,0,0.492765069
691,0.691753,14,0,0.492765069
692,0.692628,14,0,0.492765069
693,0.693907,14,0,0.492765069
694,0.694708,14,0,0.492765069
695,0.695702,14,0,0.492765069
696,0.696667,-52,0,0.492765069
697,0.697946,14,0,0.492765069
698,0.698911,14,0,0.492765069
699,0.699948,14,0,0.492765069
700,0.700749,14,0,0.492765069
701,0.702136,14,0,0.492765069
702,0.703019,14,0,0.492765069
703,0.703923,21,0,0.492765069
704,0.704989,21,0,0.492765069
705,0.705878,-45,0,0.492765069
706,0.706923,-45,0,0.492765069
707,0.707949,28,0,0.492765069
708,0.708751,28,0,0.492765069
709,0.709817,62,0,0.478755444
710,0.710693,62,0,0.478755444
711,0.711760,-52,0,0.478755444
712,0.712817,-52,0,0.478755444
713,0.713693,-45,0,0.478755444
714,0.714781,-45,0,0.478755444
715,0.715753,21,0,0.478755444
716,0.716633,21,0,0.478755444
717,0.718006,-59,0,0.478755444
718,0.718993,-59,0,0.478755444
719,0.719882,14,0,0.478755444
720,0.720683,14,0,0.478755444
721,0.721932,7,0,0.478755444
722,0.722733,7,0,0.478755444
723,0.723979,-59,0,0.478755444
724,0.724780,-59,0,0.478755444
725,0.725650,14,0,0.478755444
726,0.726921,14,0,0.478755444
727,0.727722,21,0,0.479174316
728,0.728974,21,0,0.479174316
729,0.729775,14,0,0.479174316
730,0.730633,14,0,0.479174316
731,0.732011,7,0,0.479174316
732,0.732989,7,0,0.479174316
733,0.733877,21,0,0.479174316
734,0.734679,21,0,0.479174316
735,0.735913,-52,0,0.479174316
736,0.736714,-52,0,0.479174316
737,0.737966,14,0,0.479174316
738,0.738767,14,0,0.479174316
739,0.739636,21,0,0.479174316
740,0.740911,21,0,0.479174316
741,0.741712,82,0,0.479174316
742,0.742960,82,0,0.479174316
743,0.743762,21,0,0.479174316
744,0.745014,21,0,0.479174316
745,0.745985,14,0,0.479174316
746,0.746786,14,0,0.479174316
747,0.747743,14,0,0.509175658
748,0.748628,14,0,0.509176135
749,0.749903,21,0,0.509176135
750,0.750704,21,0,0.509176135
751,0.751958,-52,0,0.509176135
752,0.752759,-52,0,0.509176135
753,0.753623,7,0,0.509176135
754,0.754897,7,0,0.509176135
755,0.755698,-59,0,0.509176135
756,0.756947,-59,0,0.509176135
757,0.757985,21,0,0.509176135
758,0.758787,21,0,0.509176135
759,0.759737,-52,0,0.509176135
760,0.760624,-52,0,0.509176135
761,0.761998,-52,0,0.509176135
762,0.762895,-52,0,0.509176135
763,0.763696,21,0,0.509176135
764,0.764934,21,0,0.509176135
765,0.765735,-45,0,0.509176135
766,0.766987,-45,0,0.509176135
767,0.767789,21,0,0.477821082
768,0.768651,21,0,0.477821082
769,0.769913,-52,0,0.477821082
770,0.770714,-52,0,0.477821082
771,0.771971,82,0,0.477821082
772,0.772926,82,0,0.477821082
773,0.773727,21,0,0.477821082
774,0.774678,21,0,0.477821082
775,0.775947,14,0,0.477821082
776,0.776749,14,0,0.477821082
777,0.778001,-59,0,0.477821082
778,0.778889,-59,0,0.477821082
779,0.779690,88,0,0.477821082
780,0.780939,88,0,0.477821082
781,0.781740,82,0,0.477821082
782,0.782992,82,0,0.477821082
783,0.783889,-52,0,0.477821082
784,0.784691,-52,0,0.477821082
785,0.785934,21,0,0.477821082
786,0.786911,21,0,0.477821082
787,0.787712,-52,0,0.477821082
